channel,tissue,status,timepoint,replicate,bias
cd11c,marrow,gl261,14,2,0.33
cd11c,marrow,gl261,14,3,0.33
cd11c,marrow,gl261,14,4,0.33
cd11c,marrow,gl261,14,5,0.33
cd11c,marrow,gl261,14,6,0.33
cd11c,marrow,gl261,14,7,0.33
cd11c,marrow,gl261,14,8,0.33
cd11c,marrow,gl261,30,1,0.33
cd11c,marrow,gl261,30,3,0.33
cd11c,marrow,gl261,30,6,0.33
cd11c,marrow,gl261,30,2,0.33
cd11c,marrow,gl261,30,4,0.33
cd11c,marrow,gl261,30,5,0.33
cd11c,marrow,gl261,30,7,0.33
cd11c,marrow,gl261,30,8,0.33
cd11c,marrow,naive,7,1,0.44
cd11c,marrow,naive,7,2,0.44
cd11c,marrow,naive,7,3,0.44
cd11c,marrow,naive,7,4,0.44
cd11c,marrow,naive,7,5,0.44
cd11c,marrow,naive,7,6,0.44
cd11c,marrow,naive,7,7,0.44
cd11c,marrow,naive,7,8,0.44
cd11c,marrow,naive,14,1,0.33
cd11c,marrow,naive,14,2,0.33
cd11c,marrow,naive,14,3,0.33
cd11c,marrow,naive,14,4,0.33
cd11c,marrow,naive,14,5,0.33
cd11c,marrow,naive,14,6,0.33
cd11c,marrow,naive,14,7,0.33
cd11c,marrow,naive,14,8,0.33
cd11c,marrow,naive,30,1,0.33
cd11c,marrow,naive,30,2,0.33
cd11c,marrow,naive,30,3,0.33
cd11c,marrow,naive,30,4,0.33
cd11c,marrow,naive,30,5,0.33
cd11c,marrow,naive,30,6,0.33
cd11c,marrow,naive,30,7,0.33
cd11c,marrow,naive,30,8,0.33
cd11c,nodes,gl261,7,1,0.48
cd11c,nodes,gl261,7,2,0.48
cd11c,nodes,gl261,7,3,0.48
cd11c,nodes,gl261,7,4,0.48
cd11c,nodes,gl261,7,5,0.48
cd11c,nodes,gl261,7,6,0.48
cd11c,nodes,gl261,7,7,0.48
cd11c,nodes,gl261,7,8,0.48
cd11c,nodes,gl261,14,1,0.34
cd11c,nodes,gl261,14,2,0.40
cd11c,nodes,gl261,14,3,0.44
cd11c,nodes,gl261,14,4,0.48
cd11c,nodes,gl261,14,5,0.34
cd11c,nodes,gl261,14,6,0.34
cd11c,nodes,gl261,14,7,0.34
cd11c,nodes,gl261,14,8,0.34
cd11c,nodes,gl261,30,1,0.34
cd11c,nodes,gl261,30,3,0.34
cd11c,nodes,gl261,30,6,0.34
cd11c,nodes,gl261,30,2,0.34
cd11c,nodes,gl261,30,4,0.34
cd11c,nodes,gl261,30,5,0.34
cd11c,nodes,gl261,30,7,0.34
cd11c,nodes,gl261,30,8,0.34
cd11c,nodes,naive,7,1,0.52
cd11c,nodes,naive,7,2,0.52
cd11c,nodes,naive,7,3,0.52
cd11c,nodes,naive,7,4,0.52
cd11c,nodes,naive,7,5,0.52
cd11c,nodes,naive,7,6,0.52
cd11c,nodes,naive,7,7,0.52
cd11c,nodes,naive,7,8,0.52
cd11c,nodes,naive,14,1,0.34
cd11c,nodes,naive,14,2,0.34
